processflag	insert_platform	insert_user	insert_date	update_platform	update_user	update_date	delete_platform	delete_user	delete_date	cru_csvnote	is_erpsent	is_enabled	i	id	code_erp	description	first_name	last_name	email	bo_login	bo_password	md_login	md_password	language	id_language	id_start_module	path_picture	id_profile	code_type	bo_tokenreset	md_tokenreset	log_attempts
\N	1	1	20130519132158	4	1	20161027083637	\N	\N	\N	\N	0	1	\N	1	SYSUSER	1 - SYSTEM BO	SYSTEM	BO	tfwtrack@gmail.com	bo	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	bo	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	1	21	/images/pictures/users/user_1/user_1_0.png	\N	sysbouser	\N	\N	0
\N	1	1	20130519132433	1	1	20130519132433	\N	\N	\N	\N	0	1	\N	2	SU0001	2 - SUPER USER	SUPER	USER	tfwnoreply@gmail.com	su	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	su	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	1	4	/images/pictures/users/user_2/user_2_0.png	\N	sysbouser	\N	\N	0
\N	1	1	20130616212732	1	1	20130616212917	\N	\N	\N	\N	0	1	\N	3	KUZ001	3 - KUZ ONE	KUZ	ONE	\N	kuz0001	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	kuz0001	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	1	1	/images/pictures/users/user_3/user_3_0.png	\N	kuzeta	\N	\N	0
\N	1	1	20130616212750	1	1	20130616213011	\N	\N	\N	\N	0	1	\N	4	KUZ002	4 - KUZ TWO	KUZ	TWO	\N	kuz0002	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	kuz0002	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	1	1	/images/pictures/users/user_4/user_4_0.png	\N	kuzeta	\N	\N	0
\N	1	1	20130616213215	1	1	20130616213258	\N	\N	\N	\N	0	1	\N	5	KUZ003	5 - KUZ THREE	KUZ	THREE	\N	kuz0003	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	kuz0003	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	1	4	/images/pictures/users/user_5/user_5_0.png	\N	kuzeta	\N	\N	0
\N	1	1	20130616213215	1	1	20130616213258	\N	\N	\N	\N	0	1	\N	6	KUZ004	6 - KUZ FOUR	KUZ	FOUR	\N	kuz0004	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	kuz0004	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	1	6	/images/pictures/users/user_6/user_6_0.png	\N	kuzeta	\N	\N	0
\N	1	1	20130616213215	1	1	20130616213258	\N	\N	\N	\N	0	1	\N	7	KUZ005	7 - KUZ FIVE	KUZ	FIVE	\N	kuz0005	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	kuz0005	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	1	4	/images/pictures/users/user_7/user_7_0.png	\N	kuzeta	\N	\N	0
\N	1	1	20130616213215	1	1	20130921122743	\N	\N	\N	\N	0	1	\N	8	KUZ006	8 - KUZ SIX	KUZ	SIX	\N	kuz0006	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	kuz0006	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	1	6	/images/pictures/users/user_8/user_8_0.png	\N	kuzeta	\N	\N	0
\N	1	1	20140704101700	1	1	20140704101700	\N	\N	\N	\N	0	1	\N	9	UC0001	9 - UC ONE	UC	ONE	\N	uc0001	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	uc0001	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	1	16	/images/pictures/users/user_default.png	\N	uc	\N	\N	0
\N	1	1	20140704101700	4	1	20160731175202	\N	\N	\N	\N	0	1	\N	10	UC0002	10 - UC TWO	UC	TWO	\N	uc0002	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	uc0002	$2y$10$29II3RvVGdyvA2NFWKRIn.9JVX2RXci520PNX1KTd6QdMFGZ6TlbW	english	3	16	/images/pictures/users/user_default.png	\N	uc	\N	\N	0
